ADGRG6	NM_198569
ADGRG7	NM_032787
ADGRL1	NM_001008701
ADGRL2	NM_012302
ADGRL3	NM_015236
ADGRL3-AS1	NR_110595
ADGRL4	NM_022159
ADGRV1	NM_032119
ADH1A	NM_000667
ADH1B	NM_000668
ADH1C	NM_000669
ADH4	NM_000670
ADH5	NM_000671
ADH6	NM_001102470
ADH7	NM_001166504
ADHFE1	NM_144650
ADI1	NM_018269
ADIG	NM_001018082
ADIPOQ	NM_004797
ADIPOQ-AS1	NR_046662
ADIPOR1	NM_015999
ADIPOR2	NM_024551
ADIRF	NM_006829
ADK	NM_006721
ADM	NM_001124
ADM2	NM_001253845
ADM5	NM_001101340
ADNP	NM_181442
ADNP-AS1	NR_110007
ADNP2	NM_014913
ADO	NM_032804
ADORA1	NM_001048230
ADORA2A	NM_000675
ADORA2A-AS1	NR_028484
ADORA2B	NM_000676
ADORA3	NM_000677
ADPGK	NM_031284
ADPGK-AS1	NR_040107
ADPRH	NM_001125
ADPRHL1	NM_138430
ADPRHL2	NM_017825
ADPRM	NM_020233
ADRA1A	NM_000680
ADRA1B	NM_000679
ADRA1D	NM_000678
ADRA2A	NM_000681
ADRA2B	NM_000682
ADRA2C	NM_000683
ADRB1	NM_000684
ADRB2	NM_000024
ADRB3	NM_000025
ADRM1	NM_175573
ADSL	NM_000026
ADSS	NM_001126
ADSSL1	NM_199165
ADTRP	NM_001143948
AEBP1	NM_001129
AEBP2	NM_001114176
AEN	NM_022767
AES	NM_198969
AFAP1	NM_001134647
AFAP1-AS1	NR_026892
AFAP1L1	NM_152406
AFAP1L2	NM_001001936
AFDN	NM_001207008
AFDN-AS1	NR_027906
AFF1	NM_001166693
AFF2	NM_002025
AFF3	NM_001025108
AFF4	NM_014423
AFG3L1P	NR_003226
AFG3L2	NM_006796
AFM	NM_001133
AFMID	NM_001145526
AFP	NM_001134
AFTPH	NM_203437
AGA	NM_000027
AGAP1	NM_001037131
AGAP1-IT1	NR_131900
AGAP11	NM_133447
AGAP12P	NR_029396
AGAP2	NM_001122772
AGAP2-AS1	NR_027032
AGAP3	NM_031946
AGAP4	NM_133446
AGAP5	NM_001144000
AGAP6	NM_001077665
AGAP7P	NR_126580
AGAP9	NM_001190810
AGBL1	NM_152336
AGBL1-AS1	NR_046012
AGBL2	NM_024783
AGBL3	NM_178563
AGBL4	NM_032785
AGBL4-IT1	NR_046839
AGBL5	NM_021831
AGBL5-AS1	NR_046730
AGER	NM_001206929
AGFG1	NM_001135187
AGFG2	NM_006076
AGGF1	NM_018046
AGK	NM_018238
AGL	NM_000642
AGMAT	NM_024758
AGMO	NM_001004320
AGO1	NM_012199
AGO2	NM_012154
AGO3	NM_024852
AGO4	NM_017629
AGPAT1	NM_006411
AGPAT2	NM_006412
AGPAT3	NM_001037553
AGPAT4	NM_020133
AGPAT4-IT1	NR_024277
AGPAT5	NM_018361
AGPS	NM_003659
AGR2	NM_006408
AGR3	NM_176813
AGRN	NM_198576
AGRP	NM_001138
AGT	NM_000029
AGTPBP1	NM_015239
AGTR1	NM_004835
AGTR2	NM_000686
AGTRAP	NM_020350
AGXT	NM_000030
AGXT2	NM_031900
AHCTF1	NM_015446
AHCTF1P1	NR_077058
AHCY	NM_000687
AHCYL1	NM_006621
AHCYL2	NM_015328
AHDC1	NM_001029882
AHI1	NM_001134830
AHNAK	NM_001620
AHNAK2	NM_138420
AHR	NM_001621
AHRR	NM_001242412
AHSA1	NM_012111
AHSA2	NM_152392
AHSG	NM_001622
AHSP	NM_016633
AICDA	NM_020661
AIDA	NM_022831
AIF1	NM_001623
AIF1L	NM_001185095
AIFM1	NM_004208
AIFM2	NM_032797
AIFM3	NM_001018060
